controller_frequency,planner_patience,controller_patience,conservative_reset_dist,acc_lim_theta,acc_lim_trans,acc_lim_x,forward_point_distance,goal_distance_bias,max_scaling_factor,max_vel_theta,max_vel_trans,max_vel_x,min_vel_theta,min_vel_trans,min_vel_x,occdist_scale,oscillation_reset_angle,path_distance_bias,scaling_speed,sim_granularity,sim_time,stop_time_buffer,theta_stopped_vel,trans_stopped_vel,vth_samples,vx_samples,vy_samples,publish_frequency,resolution,transform_tolerance,update_frequency,cost_scaling_factor,inflation_radius,Planner_failed,Recovery_executed,Positional_error,Traveled_distance,Mission_time,Obstacle_distance,Energy,Task_success_rate
5.73,6.37,6.23,2.86,2.66,0.21,2.88,0.63,5.28,0.45,1.29,0.58,0.49,2.69,0.17,0,0.17,0.23,33.48,0.35,0.03,1.65,1.13,0.06,0.08,20,3,6,3.81,0.09,1.15,4.1,10.3,1.19,117,13,57.9539983491774,204.86,1749.19,0.4,364.04,0
4.11,5.31,6.7,3.62,5.14,0.44,4.6,0.68,19.77,0.29,0.65,0.49,0.67,1.77,0.11,-0.3,0.07,0.34,46.05,0.16,0.04,1.49,0.98,0.1,0.12,26,4,2,4.26,0.03,1.8,2.53,1.39,0.98,308,14,48.3908515439311,45.38,561.12,0.4,333.76,0
6.42,3.55,3.98,4.04,3.48,0.2,3.49,0.62,27.62,0.16,0.61,0.63,0.38,2.83,0.17,-0.11,0.08,0.19,16.88,0.3,0.02,2.15,0.95,0.06,0.12,15,9,4,4.4,0.1,0.69,1.27,14.59,0.89,4,10,0.961440899427391,37.97,276.99,0.55,212.08,0.2
3.54,5.26,5.93,2.21,4.75,0.41,2.7,0.48,22.14,0.19,0.53,0.49,0.46,2.82,0.19,-0.05,0.41,0.25,36.35,0.25,0.02,1,1.03,0.07,0.13,23,10,12,1.02,0.05,1.98,5.5,13.65,0.89,0,9,3.13879093272627,35.83,243.8,0.4,181.12,0.2
3.15,3.47,3.98,4.82,3.38,0.35,2.21,0.38,10.72,0.2,0.64,0.35,0.4,2.43,0.11,-0.28,0.1,0.38,22.52,0.34,0.03,3.16,0.13,0.1,0.08,10,3,0,1.29,0.14,1.92,1.2,6.42,0.35,59,9,0.811440569215089,31.24,244.86,0.47,177.6,0.8
4.11,3.41,6.84,4.57,4.26,0.5,1.23,0.5,7.23,0.18,0.81,0.64,0.52,2.08,0.11,-0.19,0.08,0.18,30.57,0.29,0.02,1.73,0.25,0.12,0.07,26,4,9,5.57,0.12,0.78,3.11,1.05,0.35,37,13,2.83506926685737,24.52,336.46,0.4,172.72,0
6.49,3.77,6.68,1.33,4.47,0.31,4.63,0.47,39.03,0.23,0.65,0.39,0.5,2.07,0.11,-0.02,0.4,0.27,36.91,0.27,0.03,0.6,0.46,0.11,0.13,24,6,11,4.16,0.1,1.6,2.57,3.65,1.01,109,8,0.743055443384101,35.13,229.95,0.4,164.32,0.8
4.1,6.35,4.59,3.58,2.15,0.39,1.64,0.34,14.11,0.48,1.05,0.73,0.5,2.62,0.17,-0.12,0.06,0.38,21.29,0.3,0.02,0.66,1.29,0.1,0.1,28,7,8,4.09,0.06,0.45,3.81,11.86,0.99,22,13,2.67652951796615,22.78,257.04,0.77,150.36,0
4.86,5.25,6.99,1.44,1.81,0.21,2.62,0.31,5.11,0.45,0.57,0.58,0.31,1.89,0.14,-0.06,0.47,0.24,16.99,0.24,0.03,2.86,1.09,0.1,0.13,15,9,1,1.07,0.03,1.6,1.18,14.42,0.57,1,3,0.187426740371342,22.22,172.61,0.66,126.88,1
5.09,6.96,6.65,1.35,3.94,0.21,3,0.37,38.14,0.27,0.7,0.35,0.57,2.97,0.12,-0.1,0.2,0.31,31.83,0.31,0.04,3.01,0.14,0.12,0.08,20,4,13,5.18,0.09,0.32,5.64,16.53,1.4,50,7,0.914067019976194,17.9,183.68,0.88,121.76,0.6
