Iteration,Energy,Positional_error,Obstacle_distance,Task success,RNS,HV,Parameters
1,132.44,0.5,0.66,0,0.8,0.65,"{'controller_frequency': 4.67782986164093, 'planner_patience': 5.9547717571258545, 'controller_patience': 4.144948363304138, 'conservative_reset_dist': 1.00964867323637, 'acc_lim_theta': 4.558676320314408, 'acc_lim_trans': 0.23808152675628663, 'acc_lim_x': 1.2271934300661087, 'forward_point_distance': 0.6362038612365722, 'goal_distance_bias': 36.79488241672516, 'max_scaling_factor': 0.3963372468948364, 'max_vel_theta': 0.8609640449285507, 'max_vel_trans': 0.7013504415750503, 'max_vel_x': 0.5472184270620346, 'min_vel_theta': 2.221105679869652, 'min_vel_trans': 0.11187471374869347, 'min_vel_x': -0.1277170479297638, 'occdist_scale': 0.24692222028970717, 'oscillation_reset_angle': 0.46563606262207036, 'path_distance_bias': 41.11475706100464, 'scaling_speed': 0.15393084958195685, 'sim_granularity': 0.044929271936416625, 'sim_time': 2.7262552976608276, 'stop_time_buffer': 1.4435078859329225, 'theta_stopped_vel': 0.056174813956022265, 'trans_stopped_vel': 0.0883484035730362, 'vth_samples': 26, 'vx_samples': 4, 'vy_samples': 12, 'publish_frequency': 5.379085004329681, 'resolution': 0.12506854951381682, 'transform_tolerance': 0.451359623670578, 'update_frequency': 1.0989953055977821, 'cost_scaling_factor': 17.430306017398834, 'inflation_radius': 1.4796342372894287, 'planner_frequency': 0.0, 'oscillation_timeout': 5.0, 'oscillation_distance': 0.5, 'acc_lim_y': 0.0, 'angular_sim_granularity': 0.1, 'max_vel_y': 0.0, 'min_vel_y': 0.0, 'oscillation_reset_dist': 0.25, 'twirling_scale': 0, 'xy_goal_tolerance': 0.2, 'yaw_goal_tolerance': 0.1}"
2,88.04,0.74,0.45,0,0.8,0.74,"{'controller_frequency': 5.259634926915169, 'planner_patience': 3.8158520348370075, 'controller_patience': 6.680797077715397, 'conservative_reset_dist': 4.783512454479933, 'acc_lim_theta': 4.946429407317192, 'acc_lim_trans': 0.2173862546682358, 'acc_lim_x': 1.8789900168776512, 'forward_point_distance': 0.6234355689026415, 'goal_distance_bias': 21.48623702581972, 'max_scaling_factor': 0.3782908022403717, 'max_vel_theta': 0.5354865249246359, 'max_vel_trans': 0.35730967959389087, 'max_vel_x': 0.38729014042764903, 'min_vel_theta': 2.853109227027744, 'min_vel_trans': 0.12312702788040042, 'min_vel_x': -0.29770543416962025, 'occdist_scale': 0.15092605687677862, 'oscillation_reset_angle': 0.1358721770346165, 'path_distance_bias': 34.86528970301151, 'scaling_speed': 0.3489605827257037, 'sim_granularity': 0.038504367833957075, 'sim_time': 2.920033684000373, 'stop_time_buffer': 1.4207650123164057, 'theta_stopped_vel': 0.11116463076323271, 'trans_stopped_vel': 0.11575022293254733, 'vth_samples': 14, 'vx_samples': 4, 'vy_samples': 7, 'publish_frequency': 4.231354234740138, 'resolution': 0.13732305810786785, 'transform_tolerance': 0.7440756229683758, 'update_frequency': 1.066602835431695, 'cost_scaling_factor': 10.859805974178016, 'inflation_radius': 0.31350773088634015, 'planner_frequency': 0.0, 'oscillation_timeout': 5.0, 'oscillation_distance': 0.5, 'acc_lim_y': 0.0, 'angular_sim_granularity': 0.1, 'max_vel_y': 0.0, 'min_vel_y': 0.0, 'oscillation_reset_dist': 0.25, 'twirling_scale': 0, 'xy_goal_tolerance': 0.2, 'yaw_goal_tolerance': 0.1}"
3,49.32,0.16,0.64,1,1.0,0.87,"{'controller_frequency': 5.001660231500864, 'planner_patience': 4.282209452241659, 'controller_patience': 3.090859193354845, 'conservative_reset_dist': 2.8611258901655674, 'acc_lim_theta': 3.9559497287496925, 'acc_lim_trans': 0.4079930882900954, 'acc_lim_x': 2.718340899795294, 'forward_point_distance': 0.28057146901264784, 'goal_distance_bias': 19.64902699459344, 'max_scaling_factor': 0.30486439503729346, 'max_vel_theta': 1.794807971920818, 'max_vel_trans': 0.43192013246007266, 'max_vel_x': 0.46996314846910536, 'min_vel_theta': 1.6172778946347535, 'min_vel_trans': 0.15563156250864268, 'min_vel_x': -0.23112967992201447, 'occdist_scale': 0.31006877436302605, 'oscillation_reset_angle': 0.341595396026969, 'path_distance_bias': 39.792705215513706, 'scaling_speed': 0.1712158165872097, 'sim_granularity': 0.035516531746834515, 'sim_time': 1.8603803757578135, 'stop_time_buffer': 1.212405233643949, 'theta_stopped_vel': 0.12159259608015417, 'trans_stopped_vel': 0.06992278899997473, 'vth_samples': 29, 'vx_samples': 3, 'vy_samples': 13, 'publish_frequency': 5.462281689047813, 'resolution': 0.02658265215344727, 'transform_tolerance': 1.0042672345414758, 'update_frequency': 1.1230957778170705, 'cost_scaling_factor': 18.837197923101485, 'inflation_radius': 1.0246445562690496, 'planner_frequency': 0.0, 'oscillation_timeout': 5.0, 'oscillation_distance': 0.5, 'acc_lim_y': 0.0, 'angular_sim_granularity': 0.1, 'max_vel_y': 0.0, 'min_vel_y': 0.0, 'oscillation_reset_dist': 0.25, 'twirling_scale': 0, 'xy_goal_tolerance': 0.2, 'yaw_goal_tolerance': 0.1}"
4,44.36,0.78,0.84,0,0.8,0.84,"{'controller_frequency': 3.224396977573633, 'planner_patience': 4.696181237697601, 'controller_patience': 5.266239855438471, 'conservative_reset_dist': 1.1355580016970634, 'acc_lim_theta': 4.026511859055608, 'acc_lim_trans': 0.14851388931274415, 'acc_lim_x': 1.1721273064613342, 'forward_point_distance': 0.26858013672754166, 'goal_distance_bias': 31.444486873224378, 'max_scaling_factor': 0.33331717476248746, 'max_vel_theta': 1.3702628314495087, 'max_vel_trans': 0.3586503285448998, 'max_vel_x': 0.39159019840881226, 'min_vel_theta': 2.076781296171248, 'min_vel_trans': 0.17352107288315893, 'min_vel_x': -0.06169738350436091, 'occdist_scale': 0.2695870792493224, 'oscillation_reset_angle': 0.2822821598500014, 'path_distance_bias': 26.957336477935314, 'scaling_speed': 0.32586052659898995, 'sim_granularity': 0.03220734595321119, 'sim_time': 3.179555745795369, 'stop_time_buffer': 0.8398524641990661, 'theta_stopped_vel': 0.11944025037810206, 'trans_stopped_vel': 0.14945897804573177, 'vth_samples': 21, 'vx_samples': 9, 'vy_samples': 14, 'publish_frequency': 1.1492651551961899, 'resolution': 0.13003053141757845, 'transform_tolerance': 1.873149355314672, 'update_frequency': 3.200445528142154, 'cost_scaling_factor': 12.375537043437362, 'inflation_radius': 0.9061982665210961, 'planner_frequency': 0.0, 'oscillation_timeout': 5.0, 'oscillation_distance': 0.5, 'acc_lim_y': 0.0, 'angular_sim_granularity': 0.1, 'max_vel_y': 0.0, 'min_vel_y': 0.0, 'oscillation_reset_dist': 0.25, 'twirling_scale': 0, 'xy_goal_tolerance': 0.2, 'yaw_goal_tolerance': 0.1}"
5,36.04,1.58,1.14,0,0.6,0.81,"{'controller_frequency': 5.996910851448774, 'planner_patience': 5.653849132359028, 'controller_patience': 4.6438028216362, 'conservative_reset_dist': 2.2899361439049244, 'acc_lim_theta': 2.9790074944496157, 'acc_lim_trans': 0.31494686044752596, 'acc_lim_x': 2.565357092767954, 'forward_point_distance': 0.3220825934782624, 'goal_distance_bias': 22.749776537530124, 'max_scaling_factor': 0.48899855464696884, 'max_vel_theta': 0.8821405349299312, 'max_vel_trans': 0.31308424305170773, 'max_vel_x': 0.7312225453555584, 'min_vel_theta': 2.445500294677913, 'min_vel_trans': 0.19213988855481148, 'min_vel_x': -0.18410076275467874, 'occdist_scale': 0.11685776114463807, 'oscillation_reset_angle': 0.1416844055056572, 'path_distance_bias': 40.86210861802101, 'scaling_speed': 0.2496538657695055, 'sim_granularity': 0.03276838366873562, 'sim_time': 1.2541362848132849, 'stop_time_buffer': 0.3064486920833588, 'theta_stopped_vel': 0.1186697021126747, 'trans_stopped_vel': 0.07898832932114601, 'vth_samples': 11, 'vx_samples': 8, 'vy_samples': 5, 'publish_frequency': 4.621165114454925, 'resolution': 0.13674369487911464, 'transform_tolerance': 1.9266978679224849, 'update_frequency': 4.464926513843238, 'cost_scaling_factor': 6.684548291377723, 'inflation_radius': 0.5456288505345583, 'planner_frequency': 0.0, 'oscillation_timeout': 5.0, 'oscillation_distance': 0.5, 'acc_lim_y': 0.0, 'angular_sim_granularity': 0.1, 'max_vel_y': 0.0, 'min_vel_y': 0.0, 'oscillation_reset_dist': 0.25, 'twirling_scale': 0, 'xy_goal_tolerance': 0.2, 'yaw_goal_tolerance': 0.1}"
6,30.76,0.73,0.81,0,0.8,0.88,"{'controller_frequency': 4.39349290728569, 'planner_patience': 5.094982881098986, 'controller_patience': 6.657010026276112, 'conservative_reset_dist': 3.6528588496148586, 'acc_lim_theta': 2.617417760659009, 'acc_lim_trans': 0.29572465568780903, 'acc_lim_x': 2.5639432929456234, 'forward_point_distance': 0.5617147417739033, 'goal_distance_bias': 16.069866623729467, 'max_scaling_factor': 0.38277464881539347, 'max_vel_theta': 0.6615643380209804, 'max_vel_trans': 0.6778904249891639, 'max_vel_x': 0.5656734785065055, 'min_vel_theta': 1.8604464665986598, 'min_vel_trans': 0.1352587594650686, 'min_vel_x': -0.059860723000019794, 'occdist_scale': 0.0829687052872032, 'oscillation_reset_angle': 0.1968723088502884, 'path_distance_bias': 45.50185885280371, 'scaling_speed': 0.18667188119143246, 'sim_granularity': 0.02624673661775887, 'sim_time': 3.067012183368206, 'stop_time_buffer': 0.12708668131381273, 'theta_stopped_vel': 0.09762466587126255, 'trans_stopped_vel': 0.056904603354632856, 'vth_samples': 21, 'vx_samples': 9, 'vy_samples': 8, 'publish_frequency': 4.436888917349279, 'resolution': 0.08551536048762501, 'transform_tolerance': 1.2029786625877024, 'update_frequency': 5.542852160520852, 'cost_scaling_factor': 8.444460372440517, 'inflation_radius': 0.6224054306745529, 'planner_frequency': 0.0, 'oscillation_timeout': 5.0, 'oscillation_distance': 0.5, 'acc_lim_y': 0.0, 'angular_sim_granularity': 0.1, 'max_vel_y': 0.0, 'min_vel_y': 0.0, 'oscillation_reset_dist': 0.25, 'twirling_scale': 0, 'xy_goal_tolerance': 0.2, 'yaw_goal_tolerance': 0.1}"
7,33.2,0.58,0.92,0,0.8,0.88,"{'controller_frequency': 5.73653207719326, 'planner_patience': 5.6542754247784615, 'controller_patience': 3.4790094308555126, 'conservative_reset_dist': 1.5242228358983994, 'acc_lim_theta': 3.671860438771546, 'acc_lim_trans': 0.23838972970843317, 'acc_lim_x': 1.7774054147303104, 'forward_point_distance': 0.6230879732407629, 'goal_distance_bias': 32.61587840039283, 'max_scaling_factor': 0.24037101678550243, 'max_vel_theta': 1.0653220931999385, 'max_vel_trans': 0.44677730100229385, 'max_vel_x': 0.7196867738384753, 'min_vel_theta': 1.965134411584586, 'min_vel_trans': 0.17152075925841928, 'min_vel_x': -0.1703230527229607, 'occdist_scale': 0.16123845861293376, 'oscillation_reset_angle': 0.3183864191174507, 'path_distance_bias': 16.673321686685085, 'scaling_speed': 0.271347657777369, 'sim_granularity': 0.017593472767621278, 'sim_time': 3.2064002491533756, 'stop_time_buffer': 0.7502564549446106, 'theta_stopped_vel': 0.10077025657519698, 'trans_stopped_vel': 0.06094137197360397, 'vth_samples': 20, 'vx_samples': 6, 'vy_samples': 6, 'publish_frequency': 1.7534580677747726, 'resolution': 0.044196217432618146, 'transform_tolerance': 1.716641547344625, 'update_frequency': 3.303235223516822, 'cost_scaling_factor': 19.970370285212994, 'inflation_radius': 0.7757983647286892, 'planner_frequency': 0.0, 'oscillation_timeout': 5.0, 'oscillation_distance': 0.5, 'acc_lim_y': 0.0, 'angular_sim_granularity': 0.1, 'max_vel_y': 0.0, 'min_vel_y': 0.0, 'oscillation_reset_dist': 0.25, 'twirling_scale': 0, 'xy_goal_tolerance': 0.2, 'yaw_goal_tolerance': 0.1}"
8,65.12,0.2,0.61,1,1.0,0.83,"{'controller_frequency': 5.401571970432997, 'planner_patience': 3.6404237039387226, 'controller_patience': 6.885550808161497, 'conservative_reset_dist': 3.7706793881952763, 'acc_lim_theta': 2.498210709542036, 'acc_lim_trans': 0.12795241102576257, 'acc_lim_x': 2.5893620774149895, 'forward_point_distance': 0.297320859413594, 'goal_distance_bias': 24.53821847680956, 'max_scaling_factor': 0.4287498120218516, 'max_vel_theta': 0.5460637072101235, 'max_vel_trans': 0.4137807975523174, 'max_vel_x': 0.5324700019787997, 'min_vel_theta': 2.9955457630567253, 'min_vel_trans': 0.11719963839277625, 'min_vel_x': -0.14336769450455902, 'occdist_scale': 0.32227686336264016, 'oscillation_reset_angle': 0.2979996059089899, 'path_distance_bias': 45.80916915088892, 'scaling_speed': 0.29380497206002476, 'sim_granularity': 0.026138419797644016, 'sim_time': 1.7078990144655108, 'stop_time_buffer': 0.8572030587121844, 'theta_stopped_vel': 0.06980863939970731, 'trans_stopped_vel': 0.07217611381784081, 'vth_samples': 19, 'vx_samples': 4, 'vy_samples': 13, 'publish_frequency': 3.053273394703865, 'resolution': 0.059890581639483575, 'transform_tolerance': 1.8099102545529604, 'update_frequency': 1.5456856731325388, 'cost_scaling_factor': 1.1660517798736691, 'inflation_radius': 1.2479354985058306, 'planner_frequency': 0.0, 'oscillation_timeout': 5.0, 'oscillation_distance': 0.5, 'acc_lim_y': 0.0, 'angular_sim_granularity': 0.1, 'max_vel_y': 0.0, 'min_vel_y': 0.0, 'oscillation_reset_dist': 0.25, 'twirling_scale': 0, 'xy_goal_tolerance': 0.2, 'yaw_goal_tolerance': 0.1}"
9,49.92,0.64,0.76,0,0.8,0.84,"{'controller_frequency': 6.686169032007456, 'planner_patience': 4.95051171630621, 'controller_patience': 6.387468557804823, 'conservative_reset_dist': 1.6917071118950844, 'acc_lim_theta': 3.5417748499661683, 'acc_lim_trans': 0.2362080179154873, 'acc_lim_x': 1.9292942807078362, 'forward_point_distance': 0.3447839439846575, 'goal_distance_bias': 15.248595173470676, 'max_scaling_factor': 0.20168149024248125, 'max_vel_theta': 0.5469753174111247, 'max_vel_trans': 0.5426820643711835, 'max_vel_x': 0.7171549877151847, 'min_vel_theta': 2.3427667943760753, 'min_vel_trans': 0.14869095580652358, 'min_vel_x': -0.27798876045271753, 'occdist_scale': 0.20272271358408034, 'oscillation_reset_angle': 0.35877759791910646, 'path_distance_bias': 45.48100929707289, 'scaling_speed': 0.16135792583227157, 'sim_granularity': 0.0393929772824049, 'sim_time': 1.715390452183783, 'stop_time_buffer': 1.1497222926467658, 'theta_stopped_vel': 0.10309571158140898, 'trans_stopped_vel': 0.13160950560122728, 'vth_samples': 14, 'vx_samples': 4, 'vy_samples': 15, 'publish_frequency': 3.990063806064427, 'resolution': 0.07896144863218069, 'transform_tolerance': 1.064475140720606, 'update_frequency': 4.5938931396231055, 'cost_scaling_factor': 14.82740689534694, 'inflation_radius': 1.122337594628334, 'planner_frequency': 0.0, 'oscillation_timeout': 5.0, 'oscillation_distance': 0.5, 'acc_lim_y': 0.0, 'angular_sim_granularity': 0.1, 'max_vel_y': 0.0, 'min_vel_y': 0.0, 'oscillation_reset_dist': 0.25, 'twirling_scale': 0, 'xy_goal_tolerance': 0.2, 'yaw_goal_tolerance': 0.1}"
10,36.04,0.58,0.91,0,0.8,0.87,"{'controller_frequency': 6.806136701256037, 'planner_patience': 3.6825760677456856, 'controller_patience': 6.6552674770355225, 'conservative_reset_dist': 2.1816623993217945, 'acc_lim_theta': 3.1111600025556982, 'acc_lim_trans': 0.1359874211251736, 'acc_lim_x': 1.2755993083119392, 'forward_point_distance': 0.5304255684837699, 'goal_distance_bias': 11.068416615016758, 'max_scaling_factor': 0.20238436087965966, 'max_vel_theta': 1.385942677501589, 'max_vel_trans': 0.5894388671033084, 'max_vel_x': 0.3703113290481269, 'min_vel_theta': 2.560357164591551, 'min_vel_trans': 0.1643676065839827, 'min_vel_x': -0.06387144019827246, 'occdist_scale': 0.17049750154837967, 'oscillation_reset_angle': 0.4740764290094376, 'path_distance_bias': 18.596001639962196, 'scaling_speed': 0.16593348439782857, 'sim_granularity': 0.03034230845980346, 'sim_time': 1.7057688208296895, 'stop_time_buffer': 0.479882569424808, 'theta_stopped_vel': 0.05960414698347449, 'trans_stopped_vel': 0.0889497603289783, 'vth_samples': 10, 'vx_samples': 9, 'vy_samples': 8, 'publish_frequency': 2.5418575843796134, 'resolution': 0.1109888028074056, 'transform_tolerance': 0.5681324714794755, 'update_frequency': 1.2125790482386947, 'cost_scaling_factor': 5.565546453930438, 'inflation_radius': 0.34414730742573735, 'planner_frequency': 0.0, 'oscillation_timeout': 5.0, 'oscillation_distance': 0.5, 'acc_lim_y': 0.0, 'angular_sim_granularity': 0.1, 'max_vel_y': 0.0, 'min_vel_y': 0.0, 'oscillation_reset_dist': 0.25, 'twirling_scale': 0, 'xy_goal_tolerance': 0.2, 'yaw_goal_tolerance': 0.1}"
