controller_frequency,planner_patience,controller_patience,conservative_reset_dist,acc_lim_theta,acc_lim_trans,acc_lim_x,forward_point_distance,goal_distance_bias,max_scaling_factor,max_vel_theta,max_vel_trans,max_vel_x,min_vel_theta,min_vel_trans,min_vel_x,occdist_scale,oscillation_reset_angle,path_distance_bias,scaling_speed,sim_granularity,sim_time,stop_time_buffer,theta_stopped_vel,trans_stopped_vel,vth_samples,vx_samples,vy_samples,publish_frequency,resolution,transform_tolerance,update_frequency,cost_scaling_factor,inflation_radius,Planner_failed,Recovery_executed,Positional_error,Traveled_distance,Mission_time,Obstacle_distance,Energy,Task_success_rate
3.24,3.28,3.23,2.15,2.05,0.32,4.27,0.56,38.81,0.14,1.25,0.55,0.54,2.33,0.12,-0.02,0.33,0.44,10.2,0.22,0.04,1.42,1.37,0.07,0.13,25,9,7,5.4,0.05,0.86,3,10.87,0.31,0,0,0.15543132275471,11.62,39.93,0.79,25.52,1
6.62,6.91,3.12,3.78,4.68,0.39,1,0.72,23.12,0.16,1.53,0.63,0.71,2,0.18,-0.07,0.38,0.16,36.96,0.33,0.03,3.15,0.55,0.08,0.09,17,6,14,2.79,0.08,1.02,4.31,2.97,0.54,0,0,0.203365289595502,11.63,72.23,0.64,53.48,1
4.74,4.21,5.81,2.21,4.56,0.41,2.6,0.26,36.28,0.27,0.53,0.66,0.36,2.39,0.15,-0.17,0.4,0.25,20.85,0.21,0.02,1.33,0.28,0.12,0.15,24,5,4,4.71,0.06,1.62,3.49,15.09,1.13,66,5,0.197968875116328,9.69,72.44,1.09,40.72,0.5
5.21,5.1,3.27,2.08,2.29,0.32,4.23,0.47,25.67,0.48,1.88,0.55,0.6,2.58,0.12,0,0.43,0.31,31.67,0.24,0.03,1.02,1.32,0.12,0.13,15,6,11,5.45,0.13,1.67,1.54,9.08,1.04,66,6,0.242797911504927,7.44,67.78,1.23,33.4,0.4
3.44,5.05,4.46,4.11,4.75,0.16,1.55,0.24,6.62,0.25,1.65,0.34,0.32,1.56,0.11,-0.16,0.19,0.33,48.4,0.33,0.03,2.8,0.51,0.15,0.14,11,10,15,1.26,0.09,1.69,5.12,9.12,0.68,22,11,0.198279043160582,17.8,203.19,0.4,109.16,0
3.68,6.84,6.69,1.07,2.7,0.48,4.53,0.26,36.43,0.23,0.52,0.57,0.41,2.74,0.12,-0.25,0.49,0.44,32.46,0.28,0.02,2.09,0.3,0.05,0.08,15,5,14,3.06,0.13,1.27,3.93,12.83,1.26,14,8,0.116163177919067,24.16,217.28,0.4,125.64,0.6
4.79,4.16,5.4,2.08,3.73,0.11,1.22,0.34,19.3,0.25,1.23,0.32,0.71,1.93,0.11,-0.17,0.5,0.24,45.16,0.33,0.03,1.38,1.41,0.12,0.12,13,10,9,2.7,0.04,1.97,3.97,2.24,1.19,3,4,0.196897554624579,20.34,158.7,0.59,125.28,1
5.42,5.59,6.99,4.14,4.6,0.19,3.38,0.67,26.29,0.18,1.48,0.38,0.46,1.85,0.14,-0.14,0.2,0.19,13.28,0.25,0.03,0.8,0.7,0.09,0.07,10,4,10,5.46,0.06,1.92,3.51,7.34,1.18,47,2,0.125990090479234,17.9,112.83,0.42,76.68,0.8
3.79,4.64,5.52,4.61,4.18,0.13,1.44,0.33,36.62,0.41,0.7,0.69,0.47,1.59,0.2,-0.19,0.34,0.4,29.94,0.18,0.02,3.5,0.5,0.09,0.12,10,5,5,5.61,0.13,0.97,5.8,7.28,1.25,50,4,0.100540198730319,11.08,71.45,0.75,38.08,0.6
6.08,4.35,4.62,2.73,2.96,0.37,4.8,0.47,24.64,0.29,1.76,0.36,0.72,2.17,0.19,-0.19,0.2,0.43,15.18,0.22,0.03,0.55,1.07,0.1,0.1,15,4,4,4.94,0.03,1.48,3.56,8.88,0.33,264,11,43.9105725057188,49.85,703.12,0.4,364.2,0
5.76,5.6,3.46,3.58,4.86,0.47,4.13,0.46,24.45,0.39,1.17,0.4,0.3,2.97,0.11,-0.2,0.36,0.48,41.1,0.32,0.02,1.13,1.25,0.1,0.05,18,9,13,3.91,0.09,0.42,2.47,18.65,1.23,11,0,0.169645326441053,16.7,87.84,0.4,64.96,1
6.82,3.31,5.41,4.68,3.13,0.35,1.73,0.31,23.15,0.25,1.72,0.57,0.6,2.28,0.17,-0.25,0.47,0.37,13.73,0.2,0.03,1.28,0.19,0.11,0.14,11,3,12,4.18,0.05,1.78,1.93,8.13,0.69,49,3,0.142431054937814,20.41,99,0.51,68.64,0.8
6.29,6.53,3.93,2.49,4.19,0.14,1.76,0.26,7.37,0.47,1.87,0.34,0.5,2.98,0.16,-0.3,0.32,0.29,21.18,0.28,0.03,1.59,0.8,0.11,0.09,18,10,8,1.93,0.05,1.19,4.6,4.05,0.65,142,13,0.293038071249704,9.6,136.52,0.88,61.28,0
4.06,6.88,3.88,1.78,4.31,0.17,3.11,0.44,29.73,0.19,0.59,0.42,0.62,2.32,0.12,-0.02,0.11,0.47,16.59,0.33,0.02,0.57,0.89,0.12,0.07,15,6,8,5.14,0.14,0.6,1.48,9.24,1.41,24,2,0.266831136003882,11.75,62.39,0.84,36.72,0.8
6.37,3.09,4.18,2.41,5.02,0.13,3.09,0.47,9.44,0.4,1.71,0.55,0.65,1.59,0.15,-0.29,0.19,0.29,27.79,0.29,0.03,2.39,0.54,0.08,0.06,27,4,5,5.94,0.07,0.43,3.89,9.25,0.86,123,9,0.192252014548352,17.63,110.15,1.05,65.96,0.2
3.79,4.28,3.26,1.64,3.53,0.46,2.77,0.43,35.96,0.3,1.86,0.37,0.31,1.55,0.19,-0.05,0.13,0.26,43.3,0.27,0.02,3.07,0.25,0.05,0.09,15,6,5,3.08,0.14,0.24,3.37,15.12,0.34,21,2,0.110332198745146,12.36,68.52,0.83,44.04,0.8
5.74,4.31,5.24,3.98,2.33,0.48,2.06,0.37,22.75,0.26,1.31,0.56,0.74,2.24,0.19,-0.15,0.28,0.37,33.29,0.24,0.04,1.48,0.61,0.13,0.11,15,4,14,3.08,0.06,0.38,1.32,9.68,1.04,0,0,0.202492078349472,14.36,62.13,0.61,44.68,1
5.46,5.83,5.58,4.35,3.88,0.25,1.28,0.55,37.24,0.31,0.58,0.53,0.37,2.34,0.13,-0.13,0.23,0.33,15.83,0.21,0.03,1.83,0.24,0.05,0.11,27,7,7,2.62,0.04,0.32,2.13,9.29,0.77,0,0,0.201267181628741,14.42,72.29,0.4,53.2,1
6.51,6.12,3.22,1.2,5.1,0.23,4.58,0.23,20.33,0.29,0.56,0.31,0.69,2.07,0.19,-0.17,0.13,0.45,42.84,0.34,0.02,2.92,1.04,0.11,0.1,26,7,13,1.56,0.11,0.83,5.25,15.74,1.27,50,3,0.135334785787211,13.06,78.39,0.86,50.24,0.8
6.61,3.25,6.31,2.26,4.86,0.32,3.52,0.38,35.25,0.4,1.72,0.42,0.51,1.84,0.15,-0.24,0.41,0.16,11.99,0.32,0.02,1.79,1.02,0.08,0.12,16,9,4,3.2,0.12,1.8,2.48,5.4,0.57,4,6,0.160150809842165,21.74,136.59,0.56,81.36,0.6
6.09,3.04,3.52,4.07,2.41,0.46,3.08,0.24,17.66,0.28,0.56,0.31,0.65,1.97,0.11,-0.23,0.47,0.34,48.75,0.3,0.04,3.05,1.06,0.07,0.1,26,7,7,4,0.06,1.78,5.43,1.53,0.8,3,9,0.165015689825717,20.39,197.59,0.4,121.76,0.4
