Iteration,Energy,Positional_error,Obstacle_distance,Task success,RNS,HV,Parameters
1,60.56,0.2,0.69,1,1,0.84,"{'controller_frequency': 3.196534514427185, 'planner_patience': 3.290797472000122, 'controller_patience': 3.8604533672332764, 'conservative_reset_dist': 4.670991659164429, 'acc_lim_theta': 4.005087184906007, 'acc_lim_trans': 0.49749016761779785, 'acc_lim_x': 4.452081680297852, 'forward_point_distance': 0.26930476203560827, 'goal_distance_bias': 5.67762041464448, 'max_scaling_factor': 0.38703453540802, 'max_vel_theta': 0.9708184748888016, 'max_vel_trans': 0.6349296122789383, 'max_vel_x': 0.7052605390548706, 'min_vel_theta': 2.3920633792877197, 'min_vel_trans': 0.1038359135389328, 'min_vel_x': -0.022042733430862438, 'occdist_scale': 0.19476941525936126, 'oscillation_reset_angle': 0.11655590385198594, 'path_distance_bias': 10.996399968862534, 'scaling_speed': 0.32122325897216797, 'sim_granularity': 0.020377916246652604, 'sim_time': 1.3873096108436584, 'stop_time_buffer': 0.5892035365104675, 'theta_stopped_vel': 0.1196675419807434, 'trans_stopped_vel': 0.11222971081733704, 'vth_samples': 25, 'vx_samples': 4, 'vy_samples': 6, 'publish_frequency': 1.5512456223368645, 'resolution': 0.06688676297664642, 'transform_tolerance': 1.8414026975631714, 'update_frequency': 3.340240925550461, 'cost_scaling_factor': 7.569496959447861, 'inflation_radius': 1.1266820669174193, 'planner_frequency': 0.0, 'oscillation_timeout': 5.0, 'oscillation_distance': 0.5, 'acc_lim_y': 0.0, 'angular_sim_granularity': 0.1, 'max_vel_y': 0.0, 'min_vel_y': 0.0, 'oscillation_reset_dist': 0.25, 'twirling_scale': 0, 'xy_goal_tolerance': 0.2, 'yaw_goal_tolerance': 0.1}"
2,22.08,1.4,1.02,0,0.6,0.86,"{'controller_frequency': 6.852107260376215, 'planner_patience': 4.823780097067356, 'controller_patience': 5.110796574503183, 'conservative_reset_dist': 3.0630808770656586, 'acc_lim_theta': 4.189229639153927, 'acc_lim_trans': 0.4399366267025471, 'acc_lim_x': 3.897860523313284, 'forward_point_distance': 0.28714462779462335, 'goal_distance_bias': 39.62415460497141, 'max_scaling_factor': 0.1756277594715357, 'max_vel_theta': 1.8214228572323918, 'max_vel_trans': 0.7305690263863653, 'max_vel_x': 0.6837981676217169, 'min_vel_theta': 2.6693969112820923, 'min_vel_trans': 0.14447038918733598, 'min_vel_x': -0.11089093331247568, 'occdist_scale': 0.11542870113626123, 'oscillation_reset_angle': 0.4402980033308268, 'path_distance_bias': 21.981436423957348, 'scaling_speed': 0.16509513594210148, 'sim_granularity': 0.02991912681609392, 'sim_time': 0.6831939872354269, 'stop_time_buffer': 1.2565661190077662, 'theta_stopped_vel': 0.14304499169811608, 'trans_stopped_vel': 0.11151743941009044, 'vth_samples': 29, 'vx_samples': 9, 'vy_samples': 14, 'publish_frequency': 4.110392582602799, 'resolution': 0.12398585344664753, 'transform_tolerance': 0.22724000513553622, 'update_frequency': 1.8437111461535096, 'cost_scaling_factor': 5.238974639214575, 'inflation_radius': 0.5839451663196087, 'planner_frequency': 0.0, 'oscillation_timeout': 5.0, 'oscillation_distance': 0.5, 'acc_lim_y': 0.0, 'angular_sim_granularity': 0.1, 'max_vel_y': 0.0, 'min_vel_y': 0.0, 'oscillation_reset_dist': 0.25, 'twirling_scale': 0, 'xy_goal_tolerance': 0.2, 'yaw_goal_tolerance': 0.1}"
3,54.88,0.16,0.6,1,1,0.85,"{'controller_frequency': 4.835809119045734, 'planner_patience': 6.22550942376256, 'controller_patience': 3.807865183800459, 'conservative_reset_dist': 2.288829706609249, 'acc_lim_theta': 2.8356509840115907, 'acc_lim_trans': 0.10922906771302224, 'acc_lim_x': 3.711534548550844, 'forward_point_distance': 0.4703157408162951, 'goal_distance_bias': 25.95674249343574, 'max_scaling_factor': 0.40023648366332054, 'max_vel_theta': 0.8274264745414257, 'max_vel_trans': 0.6359552743379027, 'max_vel_x': 0.5007774058263749, 'min_vel_theta': 2.1900599682703614, 'min_vel_trans': 0.14163121087476613, 'min_vel_x': -0.1647203592583537, 'occdist_scale': 0.23661395208910108, 'oscillation_reset_angle': 0.4490012634545565, 'path_distance_bias': 32.51737080514431, 'scaling_speed': 0.3449146803468466, 'sim_granularity': 0.04153809931129217, 'sim_time': 1.9295810861513019, 'stop_time_buffer': 0.4212749535217881, 'theta_stopped_vel': 0.05062262527644634, 'trans_stopped_vel': 0.14876620434224605, 'vth_samples': 19, 'vx_samples': 4, 'vy_samples': 9, 'publish_frequency': 1.0994473043829203, 'resolution': 0.029166563572362067, 'transform_tolerance': 1.705496378801763, 'update_frequency': 2.861600731499493, 'cost_scaling_factor': 8.855583211407065, 'inflation_radius': 1.0135776188224555, 'planner_frequency': 0.0, 'oscillation_timeout': 5.0, 'oscillation_distance': 0.5, 'acc_lim_y': 0.0, 'angular_sim_granularity': 0.1, 'max_vel_y': 0.0, 'min_vel_y': 0.0, 'oscillation_reset_dist': 0.25, 'twirling_scale': 0, 'xy_goal_tolerance': 0.2, 'yaw_goal_tolerance': 0.1}"
4,40.72,1.47,1.08,0,0.6,0.81,"{'controller_frequency': 3.3107985854148865, 'planner_patience': 3.3406345285475254, 'controller_patience': 6.749133393168449, 'conservative_reset_dist': 2.691515728831291, 'acc_lim_theta': 3.2408321599476038, 'acc_lim_trans': 0.3729683484882117, 'acc_lim_x': 4.176164470613003, 'forward_point_distance': 0.5034599424339831, 'goal_distance_bias': 19.30077758617699, 'max_scaling_factor': 0.30431289188563826, 'max_vel_theta': 1.2804038883186877, 'max_vel_trans': 0.5286692237947136, 'max_vel_x': 0.5974612398538739, 'min_vel_theta': 2.8920199242420495, 'min_vel_trans': 0.1916158421896398, 'min_vel_x': -0.005887455493211735, 'occdist_scale': 0.34167742198333145, 'oscillation_reset_angle': 0.3045238576829433, 'path_distance_bias': 30.107383467257023, 'scaling_speed': 0.2959090260788798, 'sim_granularity': 0.04011095599271357, 'sim_time': 2.945657804608345, 'stop_time_buffer': 0.7433006595820187, 'theta_stopped_vel': 0.12355626225471496, 'trans_stopped_vel': 0.12286143321543931, 'vth_samples': 14, 'vx_samples': 4, 'vy_samples': 4, 'publish_frequency': 1.5150143522769213, 'resolution': 0.1428688198234886, 'transform_tolerance': 0.846387468278408, 'update_frequency': 5.273067261092365, 'cost_scaling_factor': 1.932241041213274, 'inflation_radius': 1.4428517036139965, 'planner_frequency': 0.0, 'oscillation_timeout': 5.0, 'oscillation_distance': 0.5, 'acc_lim_y': 0.0, 'angular_sim_granularity': 0.1, 'max_vel_y': 0.0, 'min_vel_y': 0.0, 'oscillation_reset_dist': 0.25, 'twirling_scale': 0, 'xy_goal_tolerance': 0.2, 'yaw_goal_tolerance': 0.1}"
5,113.84,1.2,0.4,0,0.4,0.66,"{'controller_frequency': 5.2669612839818, 'planner_patience': 6.623867820948362, 'controller_patience': 3.9455433525145054, 'conservative_reset_dist': 4.102390915155411, 'acc_lim_theta': 3.4229129740037028, 'acc_lim_trans': 0.39590765982866294, 'acc_lim_x': 3.028878480195999, 'forward_point_distance': 0.491596938483417, 'goal_distance_bias': 33.24795765802264, 'max_scaling_factor': 0.3862447440624237, 'max_vel_theta': 1.1422265213914216, 'max_vel_trans': 0.36333723734132944, 'max_vel_x': 0.6219325573649257, 'min_vel_theta': 1.5494768740609288, 'min_vel_trans': 0.11374443415552378, 'min_vel_x': -0.2345006148330867, 'occdist_scale': 0.2058551452122629, 'oscillation_reset_angle': 0.21062638610601425, 'path_distance_bias': 40.328267365694046, 'scaling_speed': 0.30342452563345435, 'sim_granularity': 0.03928438684903085, 'sim_time': 0.7025998113676906, 'stop_time_buffer': 1.2292864102870227, 'theta_stopped_vel': 0.07677089776843786, 'trans_stopped_vel': 0.11758488360792398, 'vth_samples': 22, 'vx_samples': 6, 'vy_samples': 5, 'publish_frequency': 4.3140979101881385, 'resolution': 0.0915532485023141, 'transform_tolerance': 1.9582450028508902, 'update_frequency': 2.320646316744387, 'cost_scaling_factor': 18.16683912742883, 'inflation_radius': 0.8403240613639353, 'planner_frequency': 0.0, 'oscillation_timeout': 5.0, 'oscillation_distance': 0.5, 'acc_lim_y': 0.0, 'angular_sim_granularity': 0.1, 'max_vel_y': 0.0, 'min_vel_y': 0.0, 'oscillation_reset_dist': 0.25, 'twirling_scale': 0, 'xy_goal_tolerance': 0.2, 'yaw_goal_tolerance': 0.1}"
6,40.72,1.28,1.1,0,0.6,0.82,"{'controller_frequency': 3.247270617634058, 'planner_patience': 4.721646640449762, 'controller_patience': 5.184522122144699, 'conservative_reset_dist': 2.697127141058445, 'acc_lim_theta': 1.9866515268571674, 'acc_lim_trans': 0.12535916380584242, 'acc_lim_x': 1.783846091479063, 'forward_point_distance': 0.24161465456709266, 'goal_distance_bias': 34.486308679915965, 'max_scaling_factor': 0.42786371521651745, 'max_vel_theta': 0.8962713605724275, 'max_vel_trans': 0.38408369952812793, 'max_vel_x': 0.7348570919595658, 'min_vel_theta': 1.5629084575921297, 'min_vel_trans': 0.15563581120222808, 'min_vel_x': -0.14369166065007447, 'occdist_scale': 0.35435307240113617, 'oscillation_reset_angle': 0.4394712787121534, 'path_distance_bias': 42.60331016033888, 'scaling_speed': 0.2539741057902574, 'sim_granularity': 0.03035038685426116, 'sim_time': 0.6153941471129656, 'stop_time_buffer': 0.8251610254868864, 'theta_stopped_vel': 0.08610284961760044, 'trans_stopped_vel': 0.14930609771981834, 'vth_samples': 22, 'vx_samples': 7, 'vy_samples': 11, 'publish_frequency': 5.89019984845072, 'resolution': 0.0610387609153986, 'transform_tolerance': 1.4487530754879117, 'update_frequency': 2.7574940156191587, 'cost_scaling_factor': 12.02236380521208, 'inflation_radius': 0.6961871758103371, 'planner_frequency': 0.0, 'oscillation_timeout': 5.0, 'oscillation_distance': 0.5, 'acc_lim_y': 0.0, 'angular_sim_granularity': 0.1, 'max_vel_y': 0.0, 'min_vel_y': 0.0, 'oscillation_reset_dist': 0.25, 'twirling_scale': 0, 'xy_goal_tolerance': 0.2, 'yaw_goal_tolerance': 0.1}"
7,40.6,0.76,0.9,0,0.8,0.85,"{'controller_frequency': 4.457506727427244, 'planner_patience': 5.173146490007639, 'controller_patience': 3.798686034977436, 'conservative_reset_dist': 3.8429219126701355, 'acc_lim_theta': 3.04071665564552, 'acc_lim_trans': 0.3218204088509083, 'acc_lim_x': 3.554542973637581, 'forward_point_distance': 0.5513425482437014, 'goal_distance_bias': 23.97386459633708, 'max_scaling_factor': 0.40128127001225955, 'max_vel_theta': 1.6526801036670804, 'max_vel_trans': 0.5598276793956757, 'max_vel_x': 0.6951267158612608, 'min_vel_theta': 1.9987495243549347, 'min_vel_trans': 0.18589319717139008, 'min_vel_x': -0.13403895953670145, 'occdist_scale': 0.20178045020438734, 'oscillation_reset_angle': 0.4027485072612763, 'path_distance_bias': 12.013060785830021, 'scaling_speed': 0.2942315207794308, 'sim_granularity': 0.043058559503406285, 'sim_time': 1.4955538297072053, 'stop_time_buffer': 0.14159265495836734, 'theta_stopped_vel': 0.1048521383665502, 'trans_stopped_vel': 0.13492790367454288, 'vth_samples': 12, 'vx_samples': 10, 'vy_samples': 14, 'publish_frequency': 1.3379543917253613, 'resolution': 0.13237214629538357, 'transform_tolerance': 1.9948197927325964, 'update_frequency': 4.488999605178833, 'cost_scaling_factor': 5.12323534861207, 'inflation_radius': 1.4098671890795231, 'planner_frequency': 0.0, 'oscillation_timeout': 5.0, 'oscillation_distance': 0.5, 'acc_lim_y': 0.0, 'angular_sim_granularity': 0.1, 'max_vel_y': 0.0, 'min_vel_y': 0.0, 'oscillation_reset_dist': 0.25, 'twirling_scale': 0, 'xy_goal_tolerance': 0.2, 'yaw_goal_tolerance': 0.1}"
8,65.72,0.17,0.4,1,1,0.83,"{'controller_frequency': 6.020937953144312, 'planner_patience': 3.424499474465847, 'controller_patience': 3.3981299102306366, 'conservative_reset_dist': 2.7376952283084393, 'acc_lim_theta': 2.460017500817776, 'acc_lim_trans': 0.3886557038873434, 'acc_lim_x': 2.2179467119276524, 'forward_point_distance': 0.5378694668412208, 'goal_distance_bias': 34.425196894444525, 'max_scaling_factor': 0.45984658785164356, 'max_vel_theta': 1.5162053080275655, 'max_vel_trans': 0.41951262499205766, 'max_vel_x': 0.5923823169898241, 'min_vel_theta': 2.0737953088246286, 'min_vel_trans': 0.12561449138447645, 'min_vel_x': -0.18652884000912306, 'occdist_scale': 0.3357714106328785, 'oscillation_reset_angle': 0.32933587916195395, 'path_distance_bias': 48.20178247988224, 'scaling_speed': 0.3287877067923546, 'sim_granularity': 0.04393281639553606, 'sim_time': 1.5652010273188353, 'stop_time_buffer': 0.21048933025449512, 'theta_stopped_vel': 0.14150529960170388, 'trans_stopped_vel': 0.055897182226181036, 'vth_samples': 21, 'vx_samples': 4, 'vy_samples': 3, 'publish_frequency': 4.478524540551007, 'resolution': 0.06051853527314961, 'transform_tolerance': 1.2956339402124286, 'update_frequency': 3.7822991367429495, 'cost_scaling_factor': 7.426924332976341, 'inflation_radius': 1.472938721626997, 'planner_frequency': 0.0, 'oscillation_timeout': 5.0, 'oscillation_distance': 0.5, 'acc_lim_y': 0.0, 'angular_sim_granularity': 0.1, 'max_vel_y': 0.0, 'min_vel_y': 0.0, 'oscillation_reset_dist': 0.25, 'twirling_scale': 0, 'xy_goal_tolerance': 0.2, 'yaw_goal_tolerance': 0.1}"
9,40.72,5.23,0.86,0,0.2,0.59,"{'controller_frequency': 3.2366520650684834, 'planner_patience': 6.107459764927626, 'controller_patience': 3.0895144268870354, 'conservative_reset_dist': 2.1377111934125423, 'acc_lim_theta': 1.738639563601464, 'acc_lim_trans': 0.21454250738024713, 'acc_lim_x': 1.9297870993614197, 'forward_point_distance': 0.40362995620816944, 'goal_distance_bias': 11.741821123287082, 'max_scaling_factor': 0.36991578973829753, 'max_vel_theta': 1.8474284536205232, 'max_vel_trans': 0.6736979508306831, 'max_vel_x': 0.7102437774650753, 'min_vel_theta': 1.8307998930104077, 'min_vel_trans': 0.18277249736711385, 'min_vel_x': -0.12212952934205532, 'occdist_scale': 0.38535768780857327, 'oscillation_reset_angle': 0.28398413173854353, 'path_distance_bias': 22.05244641751051, 'scaling_speed': 0.18219133336097001, 'sim_granularity': 0.04292461995966732, 'sim_time': 2.5127896200865507, 'stop_time_buffer': 1.251302906870842, 'theta_stopped_vel': 0.1280862521380186, 'trans_stopped_vel': 0.11381965884938836, 'vth_samples': 29, 'vx_samples': 7, 'vy_samples': 13, 'publish_frequency': 1.3166444320231676, 'resolution': 0.05624148054979741, 'transform_tolerance': 1.3197094567120076, 'update_frequency': 3.6004463899880648, 'cost_scaling_factor': 17.179366191849113, 'inflation_radius': 0.7760261826217174, 'planner_frequency': 0.0, 'oscillation_timeout': 5.0, 'oscillation_distance': 0.5, 'acc_lim_y': 0.0, 'angular_sim_granularity': 0.1, 'max_vel_y': 0.0, 'min_vel_y': 0.0, 'oscillation_reset_dist': 0.25, 'twirling_scale': 0, 'xy_goal_tolerance': 0.2, 'yaw_goal_tolerance': 0.1}"
10,230.12,4.76,0.4,0,0,0.29,"{'controller_frequency': 6.249591093510389, 'planner_patience': 4.205552991479635, 'controller_patience': 6.807803601026535, 'conservative_reset_dist': 1.1213802732527256, 'acc_lim_theta': 2.3726204266771673, 'acc_lim_trans': 0.2545400135219097, 'acc_lim_x': 2.894279681146145, 'forward_point_distance': 0.5502599723637104, 'goal_distance_bias': 9.293894302099943, 'max_scaling_factor': 0.4512933466583491, 'max_vel_theta': 1.5826070033945143, 'max_vel_trans': 0.5206879211124033, 'max_vel_x': 0.30517458259128033, 'min_vel_theta': 1.9016700745560229, 'min_vel_trans': 0.14020625213161111, 'min_vel_x': -0.2453298568725586, 'occdist_scale': 0.45338832153938713, 'oscillation_reset_angle': 0.4591902200132608, 'path_distance_bias': 38.32023221999407, 'scaling_speed': 0.1970614368095994, 'sim_granularity': 0.019240743331611156, 'sim_time': 0.7468855576589704, 'stop_time_buffer': 1.0490234432741998, 'theta_stopped_vel': 0.06680213864892721, 'trans_stopped_vel': 0.14262255718931555, 'vth_samples': 21, 'vx_samples': 4, 'vy_samples': 5, 'publish_frequency': 2.4880217611789703, 'resolution': 0.09683731940574945, 'transform_tolerance': 1.5803916728124023, 'update_frequency': 4.980443300679326, 'cost_scaling_factor': 14.085014945827425, 'inflation_radius': 1.0449938379228114, 'planner_frequency': 0.0, 'oscillation_timeout': 5.0, 'oscillation_distance': 0.5, 'acc_lim_y': 0.0, 'angular_sim_granularity': 0.1, 'max_vel_y': 0.0, 'min_vel_y': 0.0, 'oscillation_reset_dist': 0.25, 'twirling_scale': 0, 'xy_goal_tolerance': 0.2, 'yaw_goal_tolerance': 0.1}"
