Iteration,Energy,Positional_error,Obstacle_distance,Task success,RNS,HV
1,132.44,0.5,0.66,0,0.8,0.65
2,88.04,0.74,0.45,0,0.8,0.74
3,49.32,0.16,0.64,1,1,0.87
4,44.36,0.78,0.84,0,0.8,0.84
5,36.04,1.58,1.14,0,0.6,0.81
6,30.76,0.73,0.81,0,0.8,0.88
7,33.2,0.58,0.92,0,0.8,0.88
8,65.12,0.2,0.61,1,1,0.83
9,49.92,0.64,0.76,0,0.8,0.84
10,36.04,0.58,0.91,0,0.8,0.87
11,53.36,0.18,0.4,1,1,0.86
12,52.12,0.17,0.66,1,1,0.86
13,28,0.5,0.72,0,0.8,0.9
14,36.04,0.67,0.79,0,0.8,0.87
15,53.32,0.17,0.4,1,1,0.86
16,49.88,0.17,0.4,1,1,0.87
17,38.28,0.16,0.59,1,1,0.89
18,28.12,1.37,1.12,0,0.6,0.84
19,45.88,0.19,0.4,1,1,0.87
20,20.12,5.21,1.6,0,0,0.62
21,44.68,0.68,0.4,0,0.8,0.85
22,77.24,0.19,0.64,1,1,0.8
23,29.24,0.15,0.62,1,1,0.92
24,48.68,0.64,0.9,0,0.6,0.84
25,36.04,1.27,1.05,0,0.6,0.83
26,40.04,0.16,0.64,1,1,0.89
27,65.32,0.86,0.74,0,0.6,0.79
28,33.4,0.68,0.8,0,0.8,0.88
29,42.84,0.18,0.64,1,1,0.88
30,126.4,0.18,0.64,1,1,0.68
31,46.04,0.9,0.77,0,0.6,0.83
32,50.72,3.25,0.4,0,0.4,0.68
33,36.08,0.17,0.67,1,1,0.9
34,53.36,3.55,0.69,0,0.2,0.66
35,33.04,0.19,0.56,1,1,0.91
36,36.04,0.94,0.78,0,0.6,0.85
37,52.96,0.52,0.77,0,0.8,0.84
38,40,0.16,0.6,1,1,0.89
39,68.68,0.16,0.4,1,1,0.82
40,128.44,0.24,0.55,0,0.8,0.67
41,56.04,0.17,0.4,1,1,0.85
42,32.92,0.56,0.78,0,0.8,0.88
43,40.6,0.18,0.64,1,1,0.89
44,107.12,1.5,0.4,0,0.4,0.66
45,92.52,0.2,0.4,1,1,0.76
46,41.92,0.17,0.4,1,1,0.88
47,192.04,2.11,0.55,0,0.2,0.45
48,144.12,1.03,0.4,0,0.4,0.6
49,40.6,0.16,0.59,1,1,0.89
50,86.56,2.04,0.71,0,0.4,0.68
51,40.6,0.15,0.4,1,1,0.89
52,47.36,0.76,0.68,0,0.8,0.84
53,46.28,0.18,0.67,1,1,0.87
54,32.08,0.62,0.4,0,0.8,0.88
55,110.08,0.8,0.4,0,0.8,0.69
56,25.44,1.52,0.99,0,0.6,0.84
57,88.56,0.59,0.41,0,0.8,0.75
58,160.08,0.97,0.4,0,0.4,0.56
59,64,0.84,0.8,0,0.8,0.79
60,65.8,0.6,0.8,0,0.8,0.8
61,37.4,0.65,0.85,0,0.8,0.87
62,36.48,0.17,0.63,1,1,0.9
63,37.36,0.18,0.4,1,1,0.9
64,96.4,1.86,0.4,0,0.4,0.66
65,60.52,0.16,0.54,1,1,0.84
66,76.6,2.94,0.62,0,0.2,0.65
67,105.16,1.14,0.84,0,0.4,0.68
68,32.72,0.58,0.87,0,0.8,0.88
69,38.16,0.15,0.66,1,1,0.9
70,26.76,1.69,0.96,0,0.6,0.83
71,32.04,0.16,0.6,1,1,0.91
72,44.04,0.18,0.67,1,1,0.88
73,40,0.17,0.58,1,1,0.89
74,44.08,0.19,0.4,1,1,0.88
75,29.8,0.16,0.66,1,1,0.92
76,37.2,0.17,0.59,1,1,0.9
77,29.04,0.16,0.4,1,1,0.92
78,31.32,0.17,0.4,1,1,0.91
79,36.04,0.82,0.4,0,0.6,0.86
80,32.72,0.17,0.4,1,1,0.91
81,30.72,0.16,0.6,1,1,0.91
82,30.48,0.16,0.58,1,1,0.91
83,28,0.46,0.7,0,0.8,0.9
84,32.92,0.17,0.67,1,1,0.91
85,30.56,0.17,0.65,1,1,0.91
86,92.28,2.39,0.88,0,0.4,0.65
87,34,0.15,0.4,1,1,0.91
88,32.04,0.16,0.63,1,1,0.91
89,42.04,1.61,0.82,0,0.6,0.8
90,32.24,0.17,0.54,1,1,0.91
91,41.88,0.18,0.4,1,1,0.88
92,33.16,0.15,0.4,1,1,0.91
93,31.52,0.14,0.6,1,1,0.91
94,30.96,0.16,0.55,1,1,0.91
95,32.08,0.16,0.6,1,1,0.91
96,32.04,0.18,0.61,1,1,0.91
97,116.12,0.16,0.4,1,1,0.7
98,32.08,0.17,0.62,1,1,0.91
99,29.44,0.51,0.67,0,0.8,0.89
100,28.6,0.16,0.4,1,1,0.92
101,29.76,0.16,0.64,1,1,0.92
102,37.52,0.18,0.67,1,1,0.9
103,28.72,0.6,0.92,0,0.8,0.89
104,32.2,0.18,0.65,1,1,0.91
105,32.92,0.18,0.69,1,1,0.91
106,36.04,0.86,0.87,0,0.6,0.86
107,31,0.17,0.4,1,1,0.91
108,32.08,0.16,0.69,1,1,0.91
109,28.12,0.57,0.81,0,0.8,0.89
110,28.76,0.52,0.86,0,0.8,0.9
111,30.08,0.18,0.4,1,1,0.91
112,32.48,0.16,0.41,1,1,0.91
113,37.88,0.17,0.61,1,1,0.89
114,30.24,0.17,0.7,1,1,0.91
115,32.68,0.17,0.57,1,1,0.91
116,33.08,0.16,0.56,1,1,0.91
117,33.04,0.16,0.4,1,1,0.91
118,34.28,0.15,0.58,1,1,0.91
119,31,0.16,0.56,1,1,0.91
120,34.72,0.17,0.67,1,1,0.9
121,30.52,0.16,0.61,1,1,0.91
122,29.24,0.16,0.56,1,1,0.92
123,36.24,0.17,0.66,1,1,0.9
124,30.08,0.18,0.61,1,1,0.91
125,33.28,0.18,0.61,1,1,0.91
126,108.16,0.76,0.4,0,0.6,0.69
127,29,0.16,0.55,1,1,0.92
128,30.76,0.53,0.73,0,0.8,0.89
129,31.36,0.16,0.4,1,1,0.91
130,32,0.17,0.4,1,1,0.91
131,32.68,0.16,0.64,1,1,0.91
132,32.44,0.17,0.66,1,1,0.91
133,30.08,0.15,0.4,1,1,0.92
134,33.64,0.17,0.68,1,1,0.91
135,30.76,0.17,0.6,1,1,0.91
136,32.6,0.16,0.57,1,1,0.91
137,29.44,0.59,0.54,0,0.8,0.89
138,33.04,0.16,0.4,1,1,0.91
139,30.76,0.17,0.66,1,1,0.91
140,77.28,1.12,0.63,0,0.6,0.75
141,32.2,0.18,0.55,1,1,0.91
142,46.04,0.2,0.4,1,1,0.87
143,37.08,0.66,0.8,0,0.8,0.87
144,29.48,0.17,0.63,1,1,0.92
145,32.76,0.15,0.4,1,1,0.91
146,28.72,0.65,0.83,0,0.8,0.89
147,30.6,0.15,0.4,1,1,0.91
148,28.08,0.17,0.4,1,1,0.92
149,32.72,0.15,0.58,1,1,0.91
150,34.36,0.18,0.68,1,1,0.9
151,30.6,0.16,0.59,1,1,0.91
152,34,0.16,0.66,1,1,0.91
153,29.6,0.17,0.4,1,1,0.92
154,32.44,0.15,0.4,1,1,0.91
155,32.04,0.17,0.62,1,1,0.91
156,28.12,0.65,0.77,0,0.8,0.89
157,32.92,0.17,0.4,1,1,0.91
158,32.72,0.18,0.59,1,1,0.91
159,28.88,0.16,0.57,1,1,0.92
160,32.12,0.15,0.4,1,1,0.91
161,34,0.17,0.7,1,1,0.9
162,28.12,0.58,0.65,0,0.8,0.89
163,29.12,0.18,0.4,1,1,0.92
164,32.12,0.17,0.62,1,1,0.91
165,38.08,1.57,1.05,0,0.6,0.81
166,43.28,0.18,0.58,1,1,0.88
167,29.92,0.15,0.64,1,1,0.92
168,31.16,0.17,0.62,1,1,0.91
169,34.72,0.57,0.84,0,0.8,0.88
170,32.04,0.17,0.4,1,1,0.91
171,29.68,0.17,0.6,1,1,0.92
172,30.6,0.16,0.69,1,1,0.91
173,44.72,0.68,0.71,0,0.8,0.85
174,32.6,0.15,0.63,1,1,0.91
175,32.08,0.14,0.4,1,1,0.91
176,29.64,0.17,0.59,1,1,0.92
177,34.72,0.6,0.75,0,0.8,0.88
178,30.84,0.16,0.4,1,1,0.91
179,32.24,0.17,0.55,1,1,0.91
180,36.04,0.59,0.87,0,0.8,0.87
181,35.24,0.17,0.4,1,1,0.9
182,30.92,0.15,0.54,1,1,0.91
183,34.72,0.65,0.78,0,0.8,0.87
184,29.6,0.15,0.63,1,1,0.92
185,30.04,0.13,0.65,1,1,0.92
186,47.52,0.17,0.65,1,1,0.87
187,28.6,0.18,0.58,1,1,0.92
188,43.36,2.88,0.99,0,0.4,0.72
189,30.04,0.18,0.4,1,1,0.91
190,58.72,0.2,0.61,1,1,0.84
191,30.36,0.16,0.4,1,1,0.91
192,84.44,1.05,0.4,0,0.6,0.73
193,60,0.15,0.62,1,1,0.84
194,30.76,0.18,0.56,1,1,0.91
195,36.08,0.17,0.4,1,1,0.9
196,31.4,0.17,0.61,1,1,0.91
197,32,0.15,0.41,1,1,0.91
198,29.04,0.19,0.59,1,1,0.92
199,36.72,0.65,0.81,0,0.8,0.87
