Iteration,Energy,Positional_error,Obstacle_distance,Task success,Task_success_rate,Penalty,HV,Parameters
1,1.45,0.06039895961064792,0.119999997317791,1,0.9856134846649336,0.014386515335066425,0.91,"{'vy_samples': 1, 'path_distance_bias': 25.541672557592392, 'min_vel_theta': 0.9947042763233185, 'conservative_reset_dist': 3.317713737487793, 'scaling_speed': 0.25929778814315796, 'controller_frequency': 13.116743564605713, 'sim_time': 2.2127525806427, 'min_vel_x': -0.10026478171348571, 'publish_frequency': 7.023773193359375, 'controller_patience': 11.436399221420288}"
2,9.03,0.10039842589646188,0.2120943516492844,0,0.4992235310541749,0.0007764689458251298,0.53,"{'vy_samples': 4, 'path_distance_bias': 33.68756559677422, 'min_vel_theta': 2.2809253726154566, 'conservative_reset_dist': 3.821969322860241, 'scaling_speed': 0.28883509524166584, 'controller_frequency': 5.843505598604679, 'sim_time': 2.3638929538428783, 'min_vel_x': -0.17617137702181934, 'publish_frequency': 5.418850784189999, 'controller_patience': 17.821585163474083}"
3,1.53,0.07703987988234584,0.4651767015457153,1,1.0,0.0,0.9,"{'vy_samples': 4, 'path_distance_bias': 31.41920732334256, 'min_vel_theta': 1.3018632046878338, 'conservative_reset_dist': 2.856288895010948, 'scaling_speed': 0.16295659262686968, 'controller_frequency': 6.634784182533622, 'sim_time': 1.0772575661540031, 'min_vel_x': -0.2864825980737805, 'publish_frequency': 5.977759649977088, 'controller_patience': 15.406301729381084}"
4,1.56,0.05229866813740014,0.5005142092704773,1,1.0,0.0,0.91,"{'vy_samples': 0, 'path_distance_bias': 36.59227036871016, 'min_vel_theta': 1.1797613594681025, 'conservative_reset_dist': 2.3578723780810833, 'scaling_speed': 0.2648646371439099, 'controller_frequency': 10.867939395830035, 'sim_time': 1.6878757327795029, 'min_vel_x': -0.16148093892261386, 'publish_frequency': 7.820610525086522, 'controller_patience': 11.023833211511374}"
5,1.62,0.058520101326181476,0.4928339421749115,1,1.0,0.0,0.9,"{'vy_samples': 3, 'path_distance_bias': 24.54424349591136, 'min_vel_theta': 2.213908901438117, 'conservative_reset_dist': 1.3613852486014366, 'scaling_speed': 0.3267397191375494, 'controller_frequency': 14.499540207907557, 'sim_time': 0.8369139768183231, 'min_vel_x': -0.03550343820825219, 'publish_frequency': 9.94577117729932, 'controller_patience': 11.040518451482058}"
6,2.02,0.07731035292614596,0.12204939872026445,1,0.9862604793653115,0.013739520634688559,0.88,"{'vy_samples': 4, 'path_distance_bias': 38.706483487039804, 'min_vel_theta': 1.2467615772038698, 'conservative_reset_dist': 2.0636980645358562, 'scaling_speed': 0.24065863136202095, 'controller_frequency': 11.124019287526608, 'sim_time': 1.678474010899663, 'min_vel_x': -0.21129646394401788, 'publish_frequency': 10.074846157804132, 'controller_patience': 18.14789967611432}"
7,1.61,0.06353592499145863,0.449352353811264,1,1.0,0.0,0.9,"{'vy_samples': 4, 'path_distance_bias': 33.436823803931475, 'min_vel_theta': 1.420110760256648, 'conservative_reset_dist': 2.5452797040343285, 'scaling_speed': 0.17432715706527233, 'controller_frequency': 9.163846476003528, 'sim_time': 0.9135612230747938, 'min_vel_x': -0.01240102043375374, 'publish_frequency': 12.075374377891421, 'controller_patience': 17.421118644997478}"
8,1.47,0.07054827009607492,0.5588536858558655,1,1.0,0.0,0.9,"{'vy_samples': 5, 'path_distance_bias': 34.41750556696206, 'min_vel_theta': 0.5779321733862162, 'conservative_reset_dist': 4.876628130674362, 'scaling_speed': 0.2154094075784087, 'controller_frequency': 13.995949272066355, 'sim_time': 1.0509522091597319, 'min_vel_x': -0.256337670609355, 'publish_frequency': 19.972511283122003, 'controller_patience': 15.53669473156333}"
9,6.65,0.05600143676327676,0.2930586934089661,1,1.0,0.0,0.65,"{'vy_samples': 0, 'path_distance_bias': 26.606315658427775, 'min_vel_theta': 2.3412176463752985, 'conservative_reset_dist': 4.527687728404999, 'scaling_speed': 0.1512340348213911, 'controller_frequency': 11.01100011728704, 'sim_time': 2.0757901053875685, 'min_vel_x': -0.04406431401148436, 'publish_frequency': 19.6323920506984, 'controller_patience': 17.041195025667548}"
10,1.66,0.06731513142988574,0.119999997317791,1,0.981955128440732,0.018044871559268004,0.9,"{'vy_samples': 4, 'path_distance_bias': 30.07537799887359, 'min_vel_theta': 2.2588355392217636, 'conservative_reset_dist': 3.7411927469074726, 'scaling_speed': 0.18264824878424404, 'controller_frequency': 13.636943157762289, 'sim_time': 1.9021762665361166, 'min_vel_x': -0.1773765865713358, 'publish_frequency': 5.124249253422022, 'controller_patience': 11.619405867531896}"
