Iteration,Energy,Positional_error,Obstacle_distance,Task success,Task_success_rate,Penalty,HV,Parameters
1,0.8,2.40920481596472,0.145137369632721,0,-0.005788008246393,0.005788008246393,0.19,"{'theta_stopped_vel': 0.09902134835720061, 'sim_time': 1.679386854171753, 'sim_granularity': 0.0374451345205307, 'max_vel_x': 0.18047108463943004, 'max_vel_trans': 0.3549963027238846, 'acc_lim_theta': 3.6092267632484436, 'min_vel_x': -0.005263370275497448}"
2,1.4,0.042202583095087,0.127054482698441,1,0.984469061553567,0.015530938446433,0.92,"{'theta_stopped_vel': 0.05844632722437382, 'sim_time': 1.393302496522665, 'sim_granularity': 0.040924576325342056, 'max_vel_x': 0.2707537683658302, 'max_vel_trans': 0.3645954987499863, 'acc_lim_theta': 4.0063054002821445, 'min_vel_x': -0.16220830678939818}"
3,2.48,0.046142822497831,0.179086282849312,1,0.98680372798439,0.01319627201561,0.86,"{'theta_stopped_vel': 0.10193750625476242, 'sim_time': 2.235105764120817, 'sim_granularity': 0.03894932602532208, 'max_vel_x': 0.20403406568802893, 'max_vel_trans': 0.1603244751226157, 'acc_lim_theta': 4.182216716464609, 'min_vel_x': -0.20912097450345754}"
4,2.06,0.036931997452679,0.136327743530273,1,0.989161989352926,0.010838010647074,0.89,"{'theta_stopped_vel': 0.09025487257167697, 'sim_time': 2.1717557590454817, 'sim_granularity': 0.03718676858581602, 'max_vel_x': 0.20835270835086703, 'max_vel_trans': 0.17996069798246025, 'acc_lim_theta': 4.108638267964125, 'min_vel_x': -0.27974464036524294}"
5,2.25,0.059521012562621,0.21976076066494,1,0.994802073303053,0.005197926696947,0.87,"{'theta_stopped_vel': 0.10621308209374547, 'sim_time': 1.3159617632627487, 'sim_granularity': 0.016481598475947976, 'max_vel_x': 0.3091532861348242, 'max_vel_trans': 0.1732198075391352, 'acc_lim_theta': 3.741282856091857, 'min_vel_x': -0.229462512396276}"
6,1.34,0.072239997212344,0.120292082428932,1,0.988628572319763,0.011371427680237,0.91,"{'theta_stopped_vel': 0.09910387136042118, 'sim_time': 1.4004693906754255, 'sim_granularity': 0.02824878679588437, 'max_vel_x': 0.30773162059485915, 'max_vel_trans': 0.35821402943693104, 'acc_lim_theta': 2.1474149944260716, 'min_vel_x': -0.10047065690159798}"
7,1.82,0.756844724195206,0.119999997317791,0,0.47165636927084,0.02834363072916,0.68,"{'theta_stopped_vel': 0.11278657419607042, 'sim_time': 0.817035173997283, 'sim_granularity': 0.02811920179054141, 'max_vel_x': 0.3428640042897314, 'max_vel_trans': 0.38053351975977423, 'acc_lim_theta': 3.7949145985767245, 'min_vel_x': -0.11886002691462635}"
8,1.44,0.063095022970508,0.164254099130631,1,0.990738432583576,0.009261567416424,0.91,"{'theta_stopped_vel': 0.09937049206346274, 'sim_time': 2.049238486215472, 'sim_granularity': 0.04368300109170377, 'max_vel_x': 0.26453482881188395, 'max_vel_trans': 0.36915685595013203, 'acc_lim_theta': 3.487854649312794, 'min_vel_x': -0.11455570505931972}"
9,0.66,2.38475948681085,0.760470867156982,0,0,0,0.2,"{'theta_stopped_vel': 0.06338687548413872, 'sim_time': 1.5946562234312296, 'sim_granularity': 0.04425476127304137, 'max_vel_x': 0.24255856950767338, 'max_vel_trans': 0.32311654961667957, 'acc_lim_theta': 3.206061807461083, 'min_vel_x': -0.19259248450398445}"
10,1,0.072617961257876,0.255605250597,1,1,0,0.93,"{'theta_stopped_vel': 0.13291675308719275, 'sim_time': 1.3837076537311077, 'sim_granularity': 0.02022032973356545, 'max_vel_x': 0.3653556069824845, 'max_vel_trans': 0.3699832175392658, 'acc_lim_theta': 3.2549441936425865, 'min_vel_x': -0.1516572986729443}"
11,1.82,0.045908769288958,0.119999997317791,1,0.989376058930935,0.010623941069065,0.89,"{'theta_stopped_vel': 0.0877423444762826, 'sim_time': 2.3012851886451244, 'sim_granularity': 0.041713903192430735, 'max_vel_x': 0.31610966110602023, 'max_vel_trans': 0.2826269893907011, 'acc_lim_theta': 2.495238050352782, 'min_vel_x': -0.24823305001482365}"
