Iteration,Energy,Positional_error,Obstacle_distance,Task success,Task_success_rate,Penalty,HV,Parameters
1,1.09,2.5171034749380508,0.7450554370880127,0,0.0,0.0,0.15,"{'max_vel_trans': 0.1941744402050972, 'cost_scaling_factor': 3.1407349640503526, 'inflation_radius': 0.8827411383390427, 'max_scaling_factor': 0.3757352888584138, 'max_vel_theta': 2.098539635539055, 'vth_samples': 36, 'min_vel_theta': 1.9676958322525024, 'min_vel_x': -0.022509902715682983, 'occdist_scale': 0.07295185804367064, 'conservative_reset_dist': 2.132371664047241, 'min_vel_trans': 0.21731159567832947, 'controller_frequency': 7.268905192613602}"
2,1.43,0.06987853228958968,0.13814134895801544,1,0.9893039745933111,0.01069602540668893,0.91,"{'max_vel_trans': 0.24405857883393764, 'cost_scaling_factor': 17.230066892690957, 'inflation_radius': 0.5701278201304376, 'max_scaling_factor': 0.19050281746312978, 'max_vel_theta': 3.1975511400960386, 'vth_samples': 43, 'min_vel_theta': 1.3210927173495293, 'min_vel_x': -0.04574364870786668, 'occdist_scale': 0.11202888805419205, 'conservative_reset_dist': 1.3991138897836208, 'min_vel_trans': 0.19152601575478911, 'controller_frequency': 11.639025276526809}"
3,0.66,2.3849752636415813,0.6830788850784302,0,0.0,0.0,0.2,"{'max_vel_trans': 0.3878624293487519, 'cost_scaling_factor': 11.769148123450577, 'inflation_radius': 1.175502909440547, 'max_scaling_factor': 0.3347502793185413, 'max_vel_theta': 3.4171788939274848, 'vth_samples': 44, 'min_vel_theta': 1.291787276044488, 'min_vel_x': -0.07317034844309092, 'occdist_scale': 0.036834639236330985, 'conservative_reset_dist': 1.399608951061964, 'min_vel_trans': 0.11314912162721158, 'controller_frequency': 10.001456355676055}"
4,1.6,0.08545034063534776,0.5526332855224609,1,1.0,0.0,0.89,"{'max_vel_trans': 0.2666885877028108, 'cost_scaling_factor': 5.1270675007253885, 'inflation_radius': 0.43158711325377225, 'max_scaling_factor': 0.3115612317807973, 'max_vel_theta': 2.1321770162321627, 'vth_samples': 46, 'min_vel_theta': 2.3412619717419147, 'min_vel_x': -0.13614236433058977, 'occdist_scale': 0.10404677450656889, 'conservative_reset_dist': 1.6043327823281288, 'min_vel_trans': 0.16942740546539425, 'controller_frequency': 5.6012193858623505}"
5,1.07,2.5170672765948465,0.7383017539978027,0,0.0,0.0,0.15,"{'max_vel_trans': 0.18142088861204683, 'cost_scaling_factor': 14.809757078066468, 'inflation_radius': 0.5071780641563237, 'max_scaling_factor': 0.2611722278408707, 'max_vel_theta': 2.847517871763557, 'vth_samples': 24, 'min_vel_theta': 2.3161374665796757, 'min_vel_x': -0.10398249439895152, 'occdist_scale': 0.1305004054866731, 'conservative_reset_dist': 1.4291980266571045, 'min_vel_trans': 0.18234125882387164, 'controller_frequency': 12.979788212105632}"
6,1.14,2.5172684830537126,0.7444767355918884,0,0.0,0.0,0.15,"{'max_vel_trans': 0.21373053998686373, 'cost_scaling_factor': 8.770393194630742, 'inflation_radius': 1.925069429911673, 'max_scaling_factor': 0.11794061101973058, 'max_vel_theta': 1.522024989593774, 'vth_samples': 32, 'min_vel_theta': 2.1727096904069185, 'min_vel_x': -0.06546039870008827, 'occdist_scale': 0.030766831878572702, 'conservative_reset_dist': 1.1886968351900578, 'min_vel_trans': 0.207685167491436, 'controller_frequency': 5.958533035591245}"
7,2.85,0.05715650258234835,0.15175415575504306,1,0.9965670901060218,0.003432909893978168,0.84,"{'max_vel_trans': 0.2608621177263558, 'cost_scaling_factor': 11.397568516433239, 'inflation_radius': 1.998478952702135, 'max_scaling_factor': 0.2396985228173435, 'max_vel_theta': 2.3167168824002147, 'vth_samples': 48, 'min_vel_theta': 2.166145697236061, 'min_vel_x': -0.2632189440540969, 'occdist_scale': 0.1446569393388927, 'conservative_reset_dist': 1.72348115965724, 'min_vel_trans': 0.16629406608641148, 'controller_frequency': 6.988241374492645}"
8,1.5,0.05253649201912737,0.5473629236221313,1,1.0,0.0,0.91,"{'max_vel_trans': 0.3364326826762408, 'cost_scaling_factor': 14.48727751802653, 'inflation_radius': 0.5226225190795958, 'max_scaling_factor': 0.10706798564642668, 'max_vel_theta': 2.812360716983676, 'vth_samples': 25, 'min_vel_theta': 0.7008145954459906, 'min_vel_x': -0.21593149853870272, 'occdist_scale': 0.05010349970310926, 'conservative_reset_dist': 1.7779962308704853, 'min_vel_trans': 0.13300747103989125, 'controller_frequency': 13.341184919700027}"
9,2.4,0.0683432403553881,0.12838776409626007,0,0.4944499109718278,0.005550089028172196,0.86,"{'max_vel_trans': 0.38186483466997745, 'cost_scaling_factor': 18.718281403183937, 'inflation_radius': 1.873575151991099, 'max_scaling_factor': 0.21185270529240371, 'max_vel_theta': 2.253917866386473, 'vth_samples': 27, 'min_vel_theta': 2.3578901179134846, 'min_vel_x': -0.06727044554427267, 'occdist_scale': 0.13734386438503862, 'conservative_reset_dist': 2.2641761861741543, 'min_vel_trans': 0.21793175887316468, 'controller_frequency': 9.041545242071152}"
10,2.66,0.04859291915994226,0.119999997317791,1,0.9802436218086966,0.0197563781913034,0.85,"{'max_vel_trans': 0.32286320147104564, 'cost_scaling_factor': 13.361205868422985, 'inflation_radius': 1.9093640778213739, 'max_scaling_factor': 0.32114581232890493, 'max_vel_theta': 3.8085774132050574, 'vth_samples': 45, 'min_vel_theta': 1.6634067930281162, 'min_vel_x': -0.18525086576119065, 'occdist_scale': 0.061614416427910323, 'conservative_reset_dist': 2.515019219368696, 'min_vel_trans': 0.1693864031136036, 'controller_frequency': 14.278985457494855}"
