obs_dist,Method
0.69,MOBO
1.02,MOBO
0.6,MOBO
1.08,MOBO
0.4,MOBO
1.1,MOBO
0.9,MOBO
0.4,MOBO
0.86,MOBO
0.4,MOBO
0.4,MOBO
0.92,MOBO
0.64,MOBO
0.96,MOBO
1.15,MOBO
0.99,MOBO
0.4,MOBO
0.4,MOBO
0.56,MOBO
1.38,MOBO
0.8,MOBO
0.7,MOBO
0.81,MOBO
0.8,MOBO
0.4,MOBO
0.51,MOBO
0.68,MOBO
0.53,MOBO
0.66,MOBO
0.4,MOBO
0.4,MOBO
0.59,MOBO
0.4,MOBO
0.84,MOBO
0.95,MOBO
0.66,MOBO
0.4,MOBO
1.07,MOBO
0.62,MOBO
0.8,MOBO
0.79,MOBO
0.78,MOBO
1.11,MOBO
0.66,MOBO
0.86,MOBO
0.86,MOBO
0.68,MOBO
0.72,MOBO
1.22,MOBO
0.4,MOBO
0.58,MOBO
0.88,MOBO
1.18,MOBO
0.4,MOBO
0.83,MOBO
0.74,MOBO
0.84,MOBO
0.83,MOBO
1.33,MOBO
0.74,MOBO
0.64,MOBO
0.89,MOBO
0.81,MOBO
0.71,MOBO
0.49,MOBO
0.66,MOBO
0.69,MOBO
0.4,MOBO
0.4,MOBO
0.66,MOBO
0.4,MOBO
0.65,MOBO
0.9,MOBO
0.65,MOBO
0.91,MOBO
0.61,MOBO
0.8,MOBO
0.61,MOBO
0.91,MOBO
0.4,MOBO
0.89,MOBO
0.62,MOBO
0.66,MOBO
0.4,MOBO
0.63,MOBO
0.4,MOBO
0.64,MOBO
0.61,MOBO
0.4,MOBO
0.57,MOBO
0.67,MOBO
0.93,MOBO
0.4,MOBO
0.4,MOBO
0.55,MOBO
0.57,MOBO
0.4,MOBO
0.96,MOBO
0.4,MOBO
0.61,MOBO
0.67,MOBO
0.4,MOBO
0.69,MOBO
0.4,MOBO
0.4,MOBO
0.4,MOBO
0.65,MOBO
0.91,MOBO
0.4,MOBO
0.92,MOBO
0.82,MOBO
0.6,MOBO
0.67,MOBO
0.59,MOBO
0.4,MOBO
0.63,MOBO
0.63,MOBO
0.57,MOBO
0.59,MOBO
0.4,MOBO
0.57,MOBO
0.56,MOBO
0.4,MOBO
0.64,MOBO
0.53,MOBO
0.66,MOBO
0.59,MOBO
1.05,MOBO
0.4,MOBO
0.62,MOBO
0.64,MOBO
0.4,MOBO
0.53,MOBO
0.4,MOBO
0.6,MOBO
0.64,MOBO
0.77,MOBO
0.65,MOBO
0.4,MOBO
0.9,MOBO
0.64,MOBO
0.57,MOBO
0.4,MOBO
0.64,MOBO
0.94,MOBO
0.4,MOBO
0.4,MOBO
0.62,MOBO
1.12,MOBO
0.67,MOBO
0.61,MOBO
0.57,MOBO
0.65,MOBO
0.82,MOBO
0.4,MOBO
0.62,MOBO
0.4,MOBO
0.63,MOBO
0.86,MOBO
0.93,MOBO
0.76,MOBO
0.62,MOBO
0.62,MOBO
0.4,MOBO
0.91,MOBO
0.6,MOBO
0.63,MOBO
0.61,MOBO
0.4,MOBO
0.4,MOBO
0.62,MOBO
0.4,MOBO
0.58,MOBO
0.63,MOBO
0.7,MOBO
0.9,MOBO
0.9,MOBO
0.9,MOBO
0.93,MOBO
0.65,MOBO
0.61,MOBO
0.4,MOBO
0.91,MOBO
0.82,MOBO
0.66,MOBO
0.65,MOBO
0.4,MOBO
0.41,MOBO
0.65,MOBO
0.71,MOBO
0.67,MOBO
0.4,MOBO
0.63,MOBO
0.94,MOBO
1.16,MOBO
0.89,MOBO
0.59,MOBO
0.63,MOBO
0.54,MOBO
0.4,MOBO
0.92,MOBO
1.3,RidgeCV
0.69,RidgeCV
0.67,RidgeCV
0.64,RidgeCV
0.4,RidgeCV
0.4,RidgeCV
0.91,RidgeCV
0.4,RidgeCV
1.04,RidgeCV
1.03,RidgeCV
0.4,RidgeCV
0.4,RidgeCV
0.7,RidgeCV
1.07,RidgeCV
0.5,RidgeCV
0.4,RidgeCV
1.24,RidgeCV
0.77,RidgeCV
2.93,RidgeCV
0.4,RidgeCV
0.4,RidgeCV
0.4,RidgeCV
0.4,RidgeCV
3.91,RidgeCV
1.35,RidgeCV
0.92,RidgeCV
0.89,RidgeCV
1.22,RidgeCV
1.17,RidgeCV
0.4,RidgeCV
0.58,RidgeCV
0.4,RidgeCV
0.4,RidgeCV
1.54,RidgeCV
0.4,RidgeCV
0.74,RidgeCV
0.98,RidgeCV
1.1,RidgeCV
0.9,RidgeCV
0.76,RidgeCV
0.63,RidgeCV
0.76,RidgeCV
1.04,RidgeCV
1.17,RidgeCV
0.7,RidgeCV
0.4,RidgeCV
0.95,RidgeCV
1.24,RidgeCV
2.26,RidgeCV
0.4,RidgeCV
0.75,RidgeCV
0.63,RidgeCV
0.82,RidgeCV
0.77,RidgeCV
0.74,RidgeCV
0.67,RidgeCV
0.85,RidgeCV
0.62,RidgeCV
1.06,RidgeCV
0.53,RidgeCV
0.92,RidgeCV
0.8,RidgeCV
0.4,RidgeCV
0.86,RidgeCV
0.78,RidgeCV
0.69,RidgeCV
0.52,RidgeCV
1.17,RidgeCV
0.4,RidgeCV
0.66,RidgeCV
0.82,RidgeCV
0.4,RidgeCV
1.72,RidgeCV
0.4,RidgeCV
0.57,RidgeCV
0.52,RidgeCV
0.4,RidgeCV
1.4,RidgeCV
0.72,RidgeCV
0.4,RidgeCV
2.78,RidgeCV
0.59,RidgeCV
0.85,RidgeCV
1.56,RidgeCV
0.41,RidgeCV
0.4,RidgeCV
0.4,RidgeCV
0.4,RidgeCV
0.63,RidgeCV
1.01,RidgeCV
0.4,RidgeCV
0.56,RidgeCV
0.4,RidgeCV
0.99,RidgeCV
0.57,RidgeCV
