controller_frequency,planner_patience,controller_patience,conservative_reset_dist,acc_lim_theta,acc_lim_trans,acc_lim_x,forward_point_distance,goal_distance_bias,max_scaling_factor,max_vel_theta,max_vel_trans,max_vel_x,min_vel_theta,min_vel_trans,min_vel_x,occdist_scale,oscillation_reset_angle,path_distance_bias,scaling_speed,sim_granularity,sim_time,stop_time_buffer,theta_stopped_vel,trans_stopped_vel,vth_samples,vx_samples,vy_samples,publish_frequency,resolution,transform_tolerance,update_frequency,cost_scaling_factor,inflation_radius,Planner_failed,Recovery_executed,Positional_error,Traveled_distance,Mission_time,Obstacle_distance,Energy,Task_success_rate
5.84,4.56,18.16,4.13,2.92,0.29,3.24,0.34,18.5,0.15,3.85,0.33,0.34,2.09,0.18,-0.22,0.09,0.3,31.76,0.22,0.04,1.63,0.28,0.07,0.07,31,14,3,7.26,0.06,1.14,18.87,19.6,0.82,28,2,0.104177208219447,10.78,92.88,0.12,2.4,1
12.3,5.86,10.03,1.02,3.81,0.11,1.67,0.5,15.92,0.32,3.01,0.18,0.23,0.52,0.13,-0.26,0.12,0.21,29.15,0.21,0.03,0.59,1.43,0.06,0.15,25,10,1,14.34,0.13,0.9,13.07,3.75,1.34,7,9,0.125722228945596,17.61,244.84,0.31,7.21,1
14.66,4.17,18.95,4.12,4.45,0.05,2.72,0.38,39.97,0.17,3.63,0.16,0.3,1.1,0.09,-0.14,0.11,0.46,22.77,0.18,0.02,2.31,0.17,0.12,0.11,31,20,2,13.26,0.14,1.36,11,14.83,1.45,2,1,0.014707540639261,9.08,99.66,0.27,2.71,1
14.2,5.54,14.52,1.11,2.55,0.12,1.51,0.36,14.34,0.39,1.68,0.19,0.22,1.9,0.2,-0.07,0.03,0.27,20.48,0.3,0.03,0.71,0.35,0.11,0.07,50,13,0,9.24,0.1,1.63,19.12,13.21,2,422,4,2.99327102531587,0.14,63.91,0.74,1.13,0
11.4,6.69,17.58,1.33,2.08,0.18,1.94,0.52,29.62,0.12,2.16,0.24,0.33,1.46,0.17,-0.08,0.11,0.26,32.58,0.16,0.04,2.34,1.39,0.12,0.11,42,17,2,8.46,0.1,0.69,6.76,4.73,1.52,414,4,1.88570098538209,1.33,52.17,0.68,0.6,0
7.7,4.95,14.29,1.72,4.11,0.28,1.6,0.37,28.4,0.24,2.07,0.37,0.2,1.07,0.11,-0.14,0.01,0.28,35.4,0.34,0.02,1.29,0.39,0.07,0.08,44,23,5,9.67,0.13,0.58,16.93,4.77,1.06,49,0,0.030269672726765,14.86,117.4,0.14,3.34,1
9.54,4.36,10.41,1.47,3.85,0.23,3.12,0.27,19.73,0.36,3.53,0.31,0.2,0.61,0.09,-0.03,0.15,0.38,40.27,0.25,0.02,0.82,1.16,0.09,0.08,34,21,1,19.49,0.1,1.42,17.03,9.74,0.7,63,6,0.019283376771984,10.65,171.02,0.14,4.8,1
8.22,5.75,16.58,1.8,4.09,0.23,1.71,0.25,25.18,0.39,3.87,0.29,0.2,0.77,0.12,-0.14,0.03,0.17,24.74,0.29,0.04,1.92,0.23,0.11,0.08,36,27,1,5.5,0.06,1.82,8.7,10.88,1.08,3,0,0.075206354238147,8.78,64.91,0.12,1.8,1
9.18,6.66,17.21,4.33,3.95,0.28,2.11,0.26,35.99,0.22,2.39,0.37,0.26,1.51,0.21,-0.19,0.1,0.45,40.72,0.29,0.03,1.48,1.03,0.12,0.08,22,27,2,16.14,0.14,1.57,13.27,19.03,1.2,42,0,0.021755436167185,8.49,55.59,0.59,1.4,1
9.79,4.75,14.88,4.52,3.46,0.15,2.84,0.48,30.72,0.21,1.55,0.21,0.25,0.97,0.12,-0.13,0.09,0.4,44.11,0.32,0.02,1.23,1.18,0.08,0.1,33,19,5,7.1,0.09,1.2,11.48,17.21,1.98,7,3,1.71348835210652,6.07,85.53,0.27,1.88,0.5
6.33,6.58,11.79,3.77,3.07,0.07,3.28,0.31,12.95,0.32,3.36,0.29,0.3,1.25,0.16,-0.2,0.11,0.24,23.27,0.32,0.02,1.17,1.19,0.1,0.12,26,18,5,8.76,0.03,0.77,6.38,16.32,1.33,4,0,0.026604846796686,11.48,68.09,0.12,1.8,1
